	SRS011061	SRS011084	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273	SRS012902	SRS013158	SRS013215	SRS013476	SRS013521	SRS013687	SRS013800	SRS013951	SRS014235	SRS014287	SRS014313	SRS014459	SRS014613	SRS014683	SRS014923	SRS014979	SRS015065	SRS015133	SRS015190	SRS015217	SRS015264	SRS015369	SRS015578	SRS015663	SRS015782	SRS015794	SRS015854	SRS015960	SRS016018	SRS016056	SRS016095	SRS016203	SRS016267	SRS016335	SRS016495	SRS016585	SRS016753	SRS016954	SRS016989	SRS017103	SRS017191	SRS017247	SRS017307	SRS017433	SRS017521	SRS017701	SRS017821	SRS018133	SRS018313	SRS018351	SRS018427	SRS018575	SRS018656	SRS018817	SRS019030	SRS019161	SRS019267	SRS019397	SRS019582	SRS019601	SRS019685	SRS019787	SRS019910	SRS019968	SRS020233	SRS020328	SRS020869	SRS021484	SRS021948	SRS022071	SRS022137	SRS022524	SRS022609	SRS022713	SRS023346	SRS023526	SRS023583	SRS023829	SRS023914	SRS023971	SRS024009	SRS024075	SRS024132	SRS024265	SRS024331	SRS024388	SRS024435	SRS024549	SRS024625	SRS042284	SRS042628	SRS043001	SRS043411	SRS043701	SRS045004	SRS045645	SRS045713	SRS047014	SRS047044	SRS048164	SRS048870	SRS049164	SRS049712	SRS049900	SRS049959	SRS049995	SRS050299	SRS050422	SRS050752	SRS050925	SRS051031	SRS051882	SRS052027	SRS052697	SRS053214	SRS053335	SRS053398	SRS054590	SRS054956	SRS055982	SRS056259	SRS056519	SRS057478	SRS057717	SRS058723	SRS058770	SRS062427	SRS063040	SRS063985	SRS064276	SRS064557	SRS064645	SRS065504	SRS075398	SRS077730	SRS078176
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
number_reads	 90085554	238641707	124345431	133237582	132460058	129846087	129418904	 37700819	132566003	126027880	115148342	107161589	121750245	112618559	104987854	115013916	118239204	112980841	 93449603	 99987314	 80513673	109805437	 86362260	109953562	 88986726	107721245	103342965	 95551024	105068636	130411120	 99801446	 65564376	 78605201	119603312	111505215	106738994	118863364	100887935	 96367456	 85308546	 91909961	112935984	 29559373	103068446	125043127	109497297	116571971	108979430	120438977	129145924	117409396	106894186	 87173865	126675555	110584442	109077287	101596426	 97958599	116735593	121731328	106408821	104002377	 96622062	 50514047	110204680	 92800694	 99693609	123791645	112797443	 85374050	114089749	110483882	110457538	 68306917	108450944	124316791	103939044	 99624463	125074548	102234331	103039042	 90157406	 20749729	122234158	 88734996	 82433077	111858301	 98928169	119161196	124938155	126732939	106311352	142090693	109866478	 86568981	115172475	129924073	118861246	 97726931	107803179	 67237357	103123237	121405453	 69774175	119648452	125759445	107201088	114972505	 96899068	 92764420	 92759918	100107152	 67233514	124809913	134822232	113707191	124069684	 72347957	 83614686	104180160	 97872710	115228878	102453488	122067879	 91770639	103639606	115714634	105657662	 89327434	 97162215	105672356	115754575	125076707	 75465869	 97521502	113339039	129329618	 93863150	114055166	102261595	 90461915	119404909	 22173327	122445815	109430327	112079819	105629277
number_bases	 8028157196	22784512697	11765258476	12659681844	12599496611	12435590477	12414820608	 3609859049	12659500696	11852346047	10760844161	10480835456	11666204582	10650185281	 9565760536	10925100631	11355138774	10560017633	 8847665694	 9588583468	 7802244848	10701971857	 8174791190	10630816205	 8507773991	10212705473	 9894223591	 9051788760	 9992334616	12310219968	 9552244345	 6318457902	 6843865231	11566857297	10796550887	10284845497	11399276872	 9535441434	 9276043939	 8285875953	 9002740118	10752284609	 2897561597	 9820433068	11938455408	 9900255609	10834794932	10436233691	11154438013	12363216925	11276278143	10406483730	 8280969726	12242654971	10772944077	10450449592	 9631545220	 9194483709	11348740213	11655487846	10150504226	 9692697310	 9195574251	 4839314601	10014593175	 8759652029	 9374600491	11874394892	10893516839	 8130660973	10620862084	10144847237	10330083342	 5832586485	10089926588	11824054563	 9652727676	 9479654847	12012938620	 9840792570	 9835550758	 8564907955	 2074947703	11241527126	 8866984908	 8238964086	10869709628	 9413189587	11214130000	12006374294	12012950490	10350568951	13299014303	10308810174	 7691923386	10780470932	12402636923	11243946934	 9241406258	 9823737502	 6348165398	 9581986698	11214742008	 6819976069	11297704583	12573299077	10712668335	10612029615	 9141383044	 9025919738	 8926281218	 9381993442	 5999996654	11964492647	13482222096	10817762759	11785245051	 6987072965	 7832294333	 9837670157	 9382449721	11089946034	 9897911913	11559102866	 8719720252	 9687833906	11111012805	 9934270187	 8638100086	 9236139847	10038604215	10849464320	12506449555	 7536989681	 9744505470	11162120328	12220157651	 9034286012	11397743171	 9645008077	 8745430544	11508372808	 2217305349	11703124261	10298813133	10317533469	10034630822
minimum_read_length	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	82	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	61	60	60	60	60	60	60	60	60	94	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	61	60	60	60	60
median_read_length	 90	101	101	101	100	101	100	100	100	100	101	101	101	101	 99	 95	101	101	100	100	100	100	100	100	100	100	100	100	100	100	100	100	 91	100	100	100	100	100	100	100	100	100	100	100	100	 95	101	101	101	101	101	101	 95	101	101	101	101	101	101	101	101	101	100	100	100	100	100	100	100	100	100	100	100	 86	101	101	 96	101	101	101	101	 95	100	101	100	100	101	101	101	101	101	101	 95	101	 90	101	101	101	101	 97	100	100	100	100	101	100	100	100	100	100	100	100	 95	100	100	100	 95	100	100	100	100	100	100	101	100	 95	100	100	100	100	 95	100	100	100	100	100	101	100	100	100	100	100	100	100	101	 95	 95
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
NCBI_accession	SRR060371;SRR060370	SRR062103;SRR062102;SRR061904;SRR061903	SRR060443;SRR060442	SRR059855;SRR059854	SRR061168;SRR061170	SRR060411;SRR060410	SRR061164;SRR061166	SRR346668;SRR346703;SRR062426;SRR062428	SRR061153;SRR061173	SRR061144;SRR061145	SRR059413;SRR059412	SRR059421;SRR059420	SRR059897;SRR059896	SRR059367;SRR059366	SRR059505;SRR059504	SRR059812;SRR059813	SRR060375;SRR060374	SRR059339;SRR059338	SRR061137;SRR062323	SRR061557;SRR061558	SRR062386;SRR062388	SRR063468;SRR063469	SRR061138;SRR062321	SRR061226;SRR061229	SRR061044;SRR061135	SRR061326;SRR061368	SRR061149;SRR061156	SRR061136;SRR062320	SRR061182;SRR061204	SRR061143;SRR061147	SRR061331;SRR061334	SRR063480;SRR063481	SRR063556;SRR063557;SRR063558;SRR063560;SRR063561;SRR063562;SRR063563;SRR063564;SRR063570;SRR063571;SRR063576;SRR063579;SRR063586;SRR063587;SRR063588;SRR063589;SRR061235;SRR061254;SRR346686	SRR061222;SRR061231	SRR061205;SRR061209	SRR061183;SRR061208	SRR063540;SRR063542;SRR063551;SRR063553;SRR063554;SRR063555;SRR061185;SRR061195	SRR061496;SRR061497	SRR061255;SRR062524	SRR061191;SRR061197;SRR346666	SRR061198;SRR061200	SRR061169;SRR061172	SRR062538;SRR062539;SRR346679;SRR353617	SRR061494;SRR061495	SRR061157;SRR061161	SRR060025;SRR060026	SRR059347;SRR059346	SRR059831;SRR059830	SRR061920;SRR061919	SRR059373;SRR059372	SRR060365;SRR060364	SRR060359;SRR060358	SRR059828;SRR059829	SRR059885;SRR059884	SRR059379;SRR059378	SRR059887;SRR059886	SRR059353;SRR059352	SRR059355;SRR059354	SRR061974;SRR061973	SRR062012;SRR062011	SRR059395;SRR059394	SRR059917;SRR059916	SRR061568;SRR061569	SRR061508;SRR061510;SRR346656;SRR346691	SRR062350;SRR062355	SRR063559;SRR063565;SRR063566;SRR063567;SRR063568;SRR063569;SRR063572;SRR063573;SRR063574;SRR063575;SRR063577;SRR063578;SRR063580;SRR063581;SRR063582;SRR063583;SRR063584;SRR063585;SRR061140;SRR062322	SRR061139;SRR062324	SRR061150;SRR061154	SRR061456;SRR061459	SRR346696;SRR062375;SRR062457	SRR063502;SRR063505	SRR061499;SRR061507	SRR061503;SRR061505	SRR346711;SRR062404;SRR062460	SRR059407;SRR059406	SRR059351;SRR059350	SRR059441;SRR059440	SRR059357;SRR059356	SRR059853;SRR059852	SRR059425;SRR059424	SRR059455;SRR059454	SRR059952;SRR059953	SRR063903;SRR063904;SRR060021	SRR060353;SRR060352	SRR060035	SRR060006	SRR059417;SRR059416	SRR059423;SRR059422	SRR061932;SRR061931	SRR060363;SRR060362	SRR059911;SRR059910	SRR059461;SRR059460	SRR061689;SRR061690;SRR061691	SRR059507;SRR059506	SRR060369;SRR060368	SRR059891;SRR059890	SRR059345;SRR059344	SRR059343;SRR059342	SRR059389;SRR059388	SRR061930;SRR061929	SRR063513;SRR063523	SRR061184;SRR061212	SRR061555;SRR061556	SRR061188;SRR061190;SRR346689	SRR059915;SRR059914	SRR060152	SRR063905;SRR063906;SRR060044	SRR061572;SRR061583	SRR063483;SRR063484	SRR061432;SRR061438	SRR061330;SRR061343	SRR062376;SRR062427	SRR346710;SRR062341;SRR062390	SRR061165;SRR061174	SRR066421	SRR061215;SRR061220	SRR059984;SRR059985	SRR062406;SRR062407	SRR346712;SRR061484;SRR061486	SRR062446;SRR062447	SRR061442;SRR061443	SRR061218;SRR061234	SRR063538;SRR063539;SRR063548;SRR063549;SRR062348;SRR062382	SRR059331;SRR059330	SRR061280;SRR061284	SRR059990;SRR059991	SRR061151;SRR061158	SRR061581;SRR061586	SRR061187;SRR061219;SRR346670	SRR061570;SRR061574	SRR061730;SRR061731;SRR059992;SRR059993	SRR061236;SRR062530	SRR063503;SRR063504	SRR060039	SRR059818	SRR063543;SRR063544;SRR063545;SRR063547;SRR063470;SRR063471	SRR060357;SRR060356	SRR062395;SRR062423	SRR063907;SRR063908;SRR063909;SRR060003	SRR062466;SRR062467	SRR061181;SRR061199	SRR062417;SRR062418	SRR066418;SRR063897;SRR063898	SRR061152;SRR061167	SRR063921;SRR063915	SRR060137;SRR060138	SRR060000;SRR060001
k__Bacteria	100	99.99962	99.9175	99.92863	99.99559	99.8669	100	100	99.94168	99.95743	99.99568	100	99.45487	99.99962	100	99.99118	99.99546	100	99.96612	99.47668	99.99709	100	100	100	99.81996	98.81047	98.99989	100	100	99.99196	100	99.56002	100	99.97489	99.8527	99.99669	100	100	99.99669	100	99.91119	100	99.8901	100	99.96451	99.9969	100	100	100	99.99839	100	99.99105	100	100	100	99.98776	99.99724	99.99538	99.99895	99.94647	100	100	100	100	100	100	99.96008	100	99.97759	99.95567	100	99.78729	100	99.92096	99.99923	99.98377	99.9996	98.21451	100	100	100	100	100	99.96621	100	99.99816	100	100	99.99903	99.688	100	98.04052	99.99481	100	99.97051	100	100	99.94628	100	99.99868	99.98771	99.82907	100	100	99.9983	100	99.89326	99.98532	99.97716	99.99485	100	99.9745	99.96356	99.74542	100	99.9593	100	99.99497	100	99.99746	99.99409	99.98806	99.98988	100	99.95356	100	99.94786	99.95697	99.99589	99.84483	100	100	99.9991	100	99.97106	100	100	99.99811	99.97422	100	100	99.99806	100	99.84196	100	99.97995	100
k__Bacteria|p__Bacteroidetes	91.07961	83.76802	59.85114	84.3848	80.35584	45.25597	92.49655	88.80212	83.88619	60.87064	53.84043	95.62709	84.10636	93.6185	53.91183	97.68049	67.66998	94.42916	19.26513	56.0225	45.45018	86.80349	54.14023	75.04679	88.35123	27.57443	31.13712	46.05383	22.48047	85.42684	13.35761	47.87598	96.35547	49.16861	56.92826	66.36306	82.71591	54.79233	88.31238	94.14448	97.07905	75.6981	72.32848	95.28808	77.40923	17.33262	0.71201	89.04716	76.13815	88.79489	71.2782	85.16777	95.08394	84.15447	90.63036	52.7871	94.3976	92.09215	98.01621	92.83543	67.21785	56.16413	90.09619	44.68917	87.99725	85.27651	73.80301	96.39895	80.27349	57.96063	70.1393	73.60521	91.48532	79.13372	82.54661	71.03006	58.0033	68.1446	88.26177	88.85931	77.20093	85.95448	76.86133	77.18623	78.82117	82.80265	81.87277	97.34757	89.97738	57.67581	90.57551	91.13061	85.82056	40.75159	80.89084	70.33277	94.83774	86.00267	78.02939	87.43333	79.82149	35.71283	86.33198	79.40199	78.18889	89.20762	91.21781	88.39408	55.33978	95.22172	82.08257	80.35068	55.30108	84.74163	93.66497	39.61916	93.20957	90.65724	29.71218	62.85751	72.88682	71.88536	75.37749	65.54331	71.86522	80.0458	70.47069	85.53284	91.35654	55.31244	83.2761	83.33375	87.93779	80.34206	81.89113	88.15601	92.50669	84.36057	75.55871	32.72668	40.14118	95.76355	90.25368	69.64774	69.48522	89.02966	80.69756
k__Bacteria|p__Firmicutes	5.59309	14.6946	37.73932	13.80815	18.70409	53.32389	6.96938	10.44868	15.20129	36.92029	44.12855	2.93561	10.06639	2.07933	44.72124	1.73242	25.35025	1.70617	79.15771	42.22077	53.72528	12.7999	43.12751	23.93581	9.61862	70.2646	50.89465	50.26642	69.14571	13.91875	81.76498	47.25184	2.77318	45.79114	39.3627	29.21704	16.67999	39.89395	9.38179	3.92273	2.11216	13.15441	26.18723	3.9889	18.67835	67.67742	0.28367	4.06706	23.74375	6.63759	11.86806	12.96026	4.354	12.77554	7.85984	41.09814	5.19022	6.76495	1.14849	6.24314	27.06648	42.5204	8.71343	52.1073	11.52659	12.69121	23.77709	3.37465	18.13127	40.91669	25.39065	25.39998	4.41834	18.6159	16.11446	26.85792	30.53275	24.61977	10.42279	6.50128	19.27315	12.87344	21.05511	19.55377	8.52796	12.40797	15.2432	2.46857	9.54143	39.86786	7.8302	6.6084	11.31881	57.2167	18.92975	19.73208	5.1551	11.48538	4.0819	12.14594	19.08339	61.87956	13.47552	18.87311	20.15997	9.87564	6.78763	7.18364	42.88699	4.19526	16.04331	18.38607	42.40263	13.90674	6.03786	59.50233	6.47775	6.21585	60.94433	29.38567	23.88638	25.02477	22.39846	24.6815	25.55172	16.03493	29.30271	13.58012	7.93925	39.56976	16.18092	15.82997	9.52434	18.35801	9.93253	10.75905	6.63336	10.9248	22.97611	62.91111	53.83463	2.69009	9.55475	27.15257	29.57696	9.29449	17.94989
k__Bacteria|p__Proteobacteria	2.98345	0.79715	0.66985	0.63683	0.71689	0.38292	0.30336	0.62326	0.53708	1.17452	1.14867	1.29145	4.54739	4.15896	0.28542	0.49311	0.4738	3.82088	0.36145	0.33739	0.74567	0.02019	2.42765	0.82374	0.37769	0.09047	0.22969	3.39695	0.46226	0.55248	0.26056	3.69222	0.83681	3.03693	0.72893	3.5165	0.45309	2.66679	2.27661	0.47152	0.71023	10.67455	0.47837	0.5521	2.32088	0.56287	98.97968	6.65615	0.10463	4.41102	6.9558	1.62781	0.21245	2.98791	0.70687	3.15296	0.28808	1.1063	0.44678	0.26583	1.45341	0.91699	1.03485	0.12773	0.22363	1.36962	1.24289	0.17603	1.53384	0.35851	0.52856	0.52265	0.10362	1.66215	0.17522	0.62571	0.25887	0.44266	0.81113	1.36642	0.4038	0.77822	0.75027	3.15378	0.27381	4.78456	1.82748	0.06659	0.35789	0.46263	1.37475	0.13266	0.28653	0.88873	0.14771	7.99741	0.00684	2.09619	17.72876	0.36263	1.02952	0.08302	0.16508	0.66454	1.4794	0.71948	1.59273	3.45725	0.89412	0.53277	1.32658	0.10217	0.78698	0.79206	0.05913	0.74578	0.04193	1.17489	5.29123	1.15719	3.1054	1.44995	1.56162	9.60762	1.16486	0.2383	0.1551	0.58279	0.68003	4.85675	0.30711	0.79177	2.27579	1.24302	7.94564	0.75312	0.52241	0.00316	0.92693	0.51976	1.34263	1.50628	0.03532	0.85004	0.65115	0.20012	0.2742
k__Bacteria|p__Verrucomicrobia	0.30185	0.35183	1.59245	0.2718	0.00902	0.47968	0.21506	0	0.00329	0.88228	0.01877	0	0	0.00454	0.54844	0	5.82502	0	0.03719	0.06685	0	0	0.16327	0.1332	0	0.00671	14.47162	0.077	6.22676	0	3.61607	0.34427	0	0	2.51497	0.01104	0	2.46478	0.00238	1.45529	0	0.34579	0.74936	0.05987	1.41844	0	0.01346	0	0	0	2.99417	0.01089	0.19384	0	0	1.26836	0.00594	0.00204	0	0.07346	0.70263	0	0	0.20232	0.16736	0	0.81327	0	0	0.5541	3.52244	0.01302	3.9272	0	1.00046	0.14395	8.53851	1.9062	0.38474	2.99089	0.03898	0.21683	0.78107	0.01849	12.27979	0	0.19405	0	0	1.25038	0	0.14813	2.02449	0.4232	0	0.58506	0	0.28382	0.0424	0	0	2.10967	0	0.52484	0.00186	0.00032	0	0	0.034	0.00208	0	0.89305	0.04971	0.00054	0	0	0.06525	1.91557	0	5.88159	0.01327	1.02146	0.62318	0	0.01853	3.21757	0	0	0	0	0.02365	0.03042	0	0.00183	0	0	0	4.70958	0.09986	3.57344	3.83398	0	0	1.53448	0	1.23975	0.73137
k__Bacteria|p__Actinobacteria	0.042	0.38802	0.06475	0.82705	0.20975	0.42148	0.01564	0.12594	0.31384	0.10971	0.85902	0.14585	0.73474	0.13596	0.53178	0.08515	0.6764	0.04379	1.14465	0.75467	0.07596	0.37643	0.13975	0.06046	1.47224	0.8545	2.2668	0.20579	1.68479	0.09389	0.99954	0.39572	0.03454	1.97754	0.31784	0.88905	0.15101	0.18215	0.00911	0.00437	0.00976	0.12715	0.14134	0.11105	0.1376	14.42398	0.01118	0.22963	0.01347	0.15489	6.90377	0.22431	0.15577	0.08208	0.25935	1.67987	0.11541	0.02864	0.38746	0.52765	3.55963	0.39434	0.15553	2.859	0.08518	0.64306	0.32381	0.05037	0.03899	0.16573	0.41807	0.24642	0.06554	0.5092	0.16129	1.3247	2.66472	3.10129	0.11956	0.2821	3.08314	0.17702	0.55222	0.05395	0.0876	0.00297	0.8625	0.11727	0.04454	0.42946	0.21954	0.02072	0.54441	0.71863	0.00222	1.35131	0.00033	0.07687	0.0155	0.05677	0.05331	0.04399	0.02742	0.53552	0.16666	0.18967	0.2951	0.94919	0.82227	0.04137	0.54754	0.24252	1.42315	0.30444	0.23804	0.08758	0.2043	0.03142	4.0519	0.71344	0.10145	0.60652	0.0275	0.16757	1.30547	0.46158	0.01936	0.26122	0.01996	0.10323	0.21222	0.00252	0.2598	0.05507	0.01375	0.33182	0.33647	0	0.4126	0.26902	0.84757	0.03814	0.15625	0.65713	0.21242	0.21594	0.34698
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	91.07961	83.76638	59.85114	84.3848	80.35584	45.25597	92.49655	88.80212	83.88619	60.87064	53.84043	95.62709	84.10636	93.61665	53.91183	97.68049	67.66998	94.42916	19.26513	56.0225	45.45018	86.80349	54.14023	75.04511	88.35123	27.57443	31.13712	46.05383	22.48047	85.42684	13.35761	47.87598	96.35547	49.16861	56.92826	66.36306	82.71591	54.79233	88.31238	94.14448	97.07905	75.6981	72.32848	95.28808	77.40923	17.33262	0.71201	89.04716	76.13594	88.79489	71.2782	85.16504	95.07672	84.15447	90.63036	52.7871	94.3976	92.09019	98.0145	92.83398	67.21785	56.16413	90.09619	44.68917	87.99725	85.27651	73.80301	96.39895	80.27349	57.96063	70.1393	73.60521	91.48532	79.13372	82.54661	71.0279	58.0033	68.1446	88.26177	88.85931	77.20093	85.95157	76.86133	77.18245	78.82117	82.79965	81.87277	97.34757	89.97738	57.67581	90.57551	91.13061	85.82056	40.75159	80.89084	70.33277	94.8359	86.00267	78.02939	87.43333	79.82149	35.71283	86.33198	79.40199	78.18889	89.20468	91.21781	88.39408	55.33978	95.22172	82.07872	80.35068	55.30108	84.74163	93.6329	39.61916	93.20957	90.65724	29.71218	62.85751	72.88682	71.88536	75.37502	65.53972	71.86522	80.04101	70.47069	85.53284	91.35654	55.31244	83.26073	83.33375	87.93454	80.33583	81.88264	88.15601	92.50669	84.36057	75.55466	32.72668	40.14118	95.76085	90.25368	69.64575	69.48522	89.02966	80.69514
k__Bacteria|p__Firmicutes|c__Clostridia	5.41588	14.66639	33.9565	12.54446	18.39711	41.57199	6.65122	10.2191	9.68478	35.80446	43.57717	0.64218	9.38772	1.05545	43.39524	1.53826	13.39068	1.45741	78.59439	41.1382	53.17828	9.95506	39.16354	22.92407	5.63112	53.34897	50.60506	42.15329	61.81106	13.90389	75.88686	35.47069	2.75239	36.27711	31.74543	29.11573	5.73223	39.44331	9.36752	3.90683	2.09355	12.91684	24.94721	3.62572	18.55591	61.34126	0.28367	3.96201	23.54276	6.58005	11.11592	12.83214	3.45145	12.69871	7.45133	38.74212	5.16006	6.44868	0.68206	5.7859	22.53671	31.40288	8.63852	18.54343	11.50967	11.84488	22.12331	3.17691	11.82721	40.44864	25.05495	23.44027	4.07662	17.3407	16.0835	26.70802	29.45421	23.26061	10.40827	6.11804	18.2104	11.67258	20.42419	19.35947	7.76895	6.53763	14.67507	1.62077	0.66503	18.50972	7.75684	5.35864	9.79535	54.75572	14.37579	19.17287	5.09981	10.47068	2.77153	12.12247	17.81481	60.92336	13.4227	18.84589	11.58535	8.13119	6.15368	7.16159	42.3609	4.18883	13.00453	17.87853	41.73134	9.44449	3.0189	55.08428	6.32768	3.38077	60.7406	29.32489	23.06652	23.17443	21.17955	21.61139	23.54663	12.8426	29.23575	13.32073	6.87408	28.60138	15.74626	15.74022	9.47677	18.09204	9.23943	9.7105	4.58296	10.90958	22.22239	58.30413	53.3308	2.65472	5.98348	27.13644	2.63253	9.02309	17.83293
